name,url
Monsieur P,https://www.tripadvisor.fr/Restaurant_Review-g187265-d13200359-Reviews-Monsieur_P-Lyon_Rhone_Auvergne_Rhone_Alpes.html
Maison Moly,https://www.tripadvisor.fr/Restaurant_Review-g187265-d26855276-Reviews-Maison_Moly-Lyon_Rhone_Auvergne_Rhone_Alpes.html
Léon de Lyon,https://www.tripadvisor.fr/Restaurant_Review-g187265-d719487-Reviews-Leon_de_Lyon-Lyon_Rhone_Auvergne_Rhone_Alpes.html
Zucca,https://www.tripadvisor.fr/Restaurant_Review-g187265-d8825212-Reviews-Zucca-Lyon_Rhone_Auvergne_Rhone_Alpes.html
Cafe Luna,https://www.tripadvisor.fr/Restaurant_Review-g187265-d7023133-Reviews-Cafe_Luna-Lyon_Rhone_Auvergne_Rhone_Alpes.html
Kenbo,https://www.tripadvisor.fr/Restaurant_Review-g187265-d9597301-Reviews-Kenbo-Lyon_Rhone_Auvergne_Rhone_Alpes.html
La Famille,https://www.tripadvisor.fr/Restaurant_Review-g187265-d3626340-Reviews-La_Famille-Lyon_Rhone_Auvergne_Rhone_Alpes.html
Ramen Shop,https://www.tripadvisor.fr/Restaurant_Review-g187265-d7296393-Reviews-Ramen_Shop-Lyon_Rhone_Auvergne_Rhone_Alpes.html
Engimono,https://www.tripadvisor.fr/Restaurant_Review-g187265-d6697281-Reviews-Engimono-Lyon_Rhone_Auvergne_Rhone_Alpes.html
The Monkey Club,https://www.tripadvisor.fr/Restaurant_Review-g187265-d3237830-Reviews-The_Monkey_Club-Lyon_Rhone_Auvergne_Rhone_Alpes.html
Le Bistrot Tetedoie,https://www.tripadvisor.fr/Restaurant_Review-g187265-d5293425-Reviews-Le_Bistrot_Tetedoie-Lyon_Rhone_Auvergne_Rhone_Alpes.html
Brasserie Gabriel,https://www.tripadvisor.fr/Restaurant_Review-g187265-d20982034-Reviews-Brasserie_Gabriel-Lyon_Rhone_Auvergne_Rhone_Alpes.html
Sinabro,https://www.tripadvisor.fr/Restaurant_Review-g187265-d18187035-Reviews-Sinabro-Lyon_Rhone_Auvergne_Rhone_Alpes.html
L'Alexandrin,https://www.tripadvisor.fr/Restaurant_Review-g187265-d718105-Reviews-L_Alexandrin-Lyon_Rhone_Auvergne_Rhone_Alpes.html
Chez Chabert,https://www.tripadvisor.fr/Restaurant_Review-g187265-d1330199-Reviews-Chez_Chabert-Lyon_Rhone_Auvergne_Rhone_Alpes.html
